measure_name,location_name,sex_name,age_name,cause_name,metric_name,year,val,upper,lower
Deaths,Finland,Both,10-14 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.0564513899325871,0.0876059470581204,0.0345789048766888
Deaths,Finland,Both,10-14 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.0183120071650881,0.0284180908946331,0.0112168921725221
Deaths,Finland,Both,15-19 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.132954074114317,0.184520304150661,0.096384169357359
Deaths,Finland,Both,15-19 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.0448411438393776,0.0622327789112445,0.0325072881803993
Deaths,Finland,Both,20-24 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.327329701871386,0.467013777171734,0.226521851874289
Deaths,Finland,Both,20-24 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.104618150919201,0.149262708340155,0.0723988600802039
Deaths,Finland,Both,25-29 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.735435121471434,0.979028438783188,0.541288019754838
Deaths,Finland,Both,25-29 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.207353012998351,0.276033181807529,0.152614008386648
Deaths,Finland,Both,30-34 years,"Tracheal, bronchus, and lung cancer",Number,2019,1.94444258984991,2.61596327501521,1.43474484229078
Deaths,Finland,Both,30-34 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.557727378119765,0.75034066125061,0.411530010368399
Deaths,Finland,Both,35-39 years,"Tracheal, bronchus, and lung cancer",Number,2019,4.37364954713755,5.75644753718854,3.2818943757576
Deaths,Finland,Both,35-39 years,"Tracheal, bronchus, and lung cancer",Rate,2019,1.21391027692019,1.59770707475143,0.910892669282586
Deaths,Finland,Both,40-44 years,"Tracheal, bronchus, and lung cancer",Number,2019,8.7897186403096,11.1006836455593,6.80414710239178
Deaths,Finland,Both,40-44 years,"Tracheal, bronchus, and lung cancer",Rate,2019,2.53294148755862,3.19889444664981,1.96075746999029
Deaths,Finland,Both,45-49 years,"Tracheal, bronchus, and lung cancer",Number,2019,20.6139108744162,25.0668226008502,16.6859351434805
Deaths,Finland,Both,45-49 years,"Tracheal, bronchus, and lung cancer",Rate,2019,6.55407170040706,7.9698487894044,5.30519492322245
Deaths,Finland,Both,50-54 years,"Tracheal, bronchus, and lung cancer",Number,2019,53.5139629385569,64.0769447054794,44.4985350034902
Deaths,Finland,Both,50-54 years,"Tracheal, bronchus, and lung cancer",Rate,2019,15.0308525602595,17.9977533991605,12.4986243226457
Deaths,Finland,Both,55-59 years,"Tracheal, bronchus, and lung cancer",Number,2019,127.265790728907,149.423545112356,107.40457520344
Deaths,Finland,Both,55-59 years,"Tracheal, bronchus, and lung cancer",Rate,2019,34.4719405836959,40.4737167735084,29.0922180550214
Deaths,Finland,Both,60-64 years,"Tracheal, bronchus, and lung cancer",Number,2019,247.853979930639,288.372509377611,212.651477444365
Deaths,Finland,Both,60-64 years,"Tracheal, bronchus, and lung cancer",Rate,2019,68.8996976536418,80.163242540223,59.1139287156786
Deaths,Finland,Both,65-69 years,"Tracheal, bronchus, and lung cancer",Number,2019,412.794235662096,464.235950968456,360.71162650361
Deaths,Finland,Both,65-69 years,"Tracheal, bronchus, and lung cancer",Rate,2019,115.739270124214,130.162501044448,101.136345351054
Deaths,Finland,Both,70-74 years,"Tracheal, bronchus, and lung cancer",Number,2019,572.999801421775,656.486019422919,502.238513909446
Deaths,Finland,Both,70-74 years,"Tracheal, bronchus, and lung cancer",Rate,2019,163.959999809235,187.849013825604,143.712138190025
Deaths,Finland,Both,75-79 years,"Tracheal, bronchus, and lung cancer",Number,2019,417.676797505327,479.888674082302,360.151976530227
Deaths,Finland,Both,75-79 years,"Tracheal, bronchus, and lung cancer",Rate,2019,196.831461316424,226.148997389819,169.722714452527
Deaths,Finland,Both,80-84 years,"Tracheal, bronchus, and lung cancer",Number,2019,375.127244757865,443.63914544302,313.788482800284
Deaths,Finland,Both,80-84 years,"Tracheal, bronchus, and lung cancer",Rate,2019,233.114040841583,275.689156985872,194.996503765913
Deaths,Finland,Both,85-89 years,"Tracheal, bronchus, and lung cancer",Number,2019,225.132106278393,273.512205561837,179.492287657692
Deaths,Finland,Both,85-89 years,"Tracheal, bronchus, and lung cancer",Rate,2019,231.504192442631,281.253630672725,184.57259513439
Deaths,Finland,Both,90-94 years,"Tracheal, bronchus, and lung cancer",Number,2019,95.4198298786635,117.69807368878,74.1388547327283
Deaths,Finland,Both,90-94 years,"Tracheal, bronchus, and lung cancer",Rate,2019,199.113934847797,245.602267432036,154.706617164528
Deaths,Finland,Both,15-19 years,Breast cancer,Number,2019,0.0510335481685865,0.0710561053024212,0.0358919806979373
Deaths,Finland,Both,15-19 years,Breast cancer,Rate,2019,0.0172119785670785,0.0239649447356704,0.012105213622657
Deaths,Finland,Both,20-24 years,Breast cancer,Number,2019,0.200354506931319,0.272060104512539,0.144371088159649
Deaths,Finland,Both,20-24 years,Breast cancer,Rate,2019,0.0640354905883816,0.0869533834243064,0.0461425779668172
Deaths,Finland,Both,25-29 years,Breast cancer,Number,2019,1.02982686986451,1.37293577667576,0.735267104849229
Deaths,Finland,Both,25-29 years,Breast cancer,Rate,2019,0.290355597793355,0.387093792008964,0.207305641378706
Deaths,Finland,Both,30-34 years,Breast cancer,Number,2019,4.5010202717708,6.01793022194009,3.32735173332028
Deaths,Finland,Both,30-34 years,Breast cancer,Rate,2019,1.29103438082603,1.72613193205638,0.954389277417657
Deaths,Finland,Both,35-39 years,Breast cancer,Number,2019,9.02740933699416,11.4837676965787,6.92733055602169
Deaths,Finland,Both,35-39 years,Breast cancer,Rate,2019,2.50556539796712,3.18732982018746,1.92268668601524
Deaths,Finland,Both,40-44 years,Breast cancer,Number,2019,16.1900002584868,19.8315378448011,12.866237204519
Deaths,Finland,Both,40-44 years,Breast cancer,Rate,2019,4.66548760164427,5.71487291286222,3.7076756762886
Deaths,Finland,Both,45-49 years,Breast cancer,Number,2019,29.0956380987112,34.8081029744781,23.7261636030008
Deaths,Finland,Both,45-49 years,Breast cancer,Rate,2019,9.25078697728914,11.0670315807476,7.54359414751566
Deaths,Finland,Both,50-54 years,Breast cancer,Number,2019,49.1166158692112,59.0291832589639,40.564430861905
Deaths,Finland,Both,50-54 years,Breast cancer,Rate,2019,13.795737987797,16.5799522516534,11.393624130887
Deaths,Finland,Both,55-59 years,Breast cancer,Number,2019,71.9155173134332,85.6506366838154,59.5867378962408
Deaths,Finland,Both,55-59 years,Breast cancer,Rate,2019,19.4794486851159,23.1998217416456,16.140004918611
Deaths,Finland,Both,60-64 years,Breast cancer,Number,2019,92.8171623856777,112.17654842361,76.006639501316
Deaths,Finland,Both,60-64 years,Breast cancer,Rate,2019,25.8017822720934,31.1834019061495,21.1287084547746
Deaths,Finland,Both,65-69 years,Breast cancer,Number,2019,119.433167443303,142.627337761818,97.9488067072493
Deaths,Finland,Both,65-69 years,Breast cancer,Rate,2019,33.4866779482507,39.989860676798,27.4628917229227
Deaths,Finland,Both,70-74 years,Breast cancer,Number,2019,149.66333469435,180.665444252323,123.357283289331
Deaths,Finland,Both,70-74 years,Breast cancer,Rate,2019,42.8251463037988,51.6961893034621,35.2978484362488
Deaths,Finland,Both,75-79 years,Breast cancer,Number,2019,140.41946875983,170.648504567085,114.766228787285
Deaths,Finland,Both,75-79 years,Breast cancer,Rate,2019,66.1731017819366,80.4186268569856,54.0839344126798
Deaths,Finland,Both,80-84 years,Breast cancer,Number,2019,137.744892812419,171.849111593295,106.189859979698
Deaths,Finland,Both,80-84 years,Breast cancer,Rate,2019,85.5983376774462,106.791605724097,65.9892015367945
Deaths,Finland,Both,85-89 years,Breast cancer,Number,2019,111.915153945364,141.093771966351,83.9186662586563
Deaths,Finland,Both,85-89 years,Breast cancer,Rate,2019,115.082774129852,145.087256889799,86.2938804430197
Deaths,Finland,Both,90-94 years,Breast cancer,Number,2019,77.8605226710396,101.517000166941,55.732429467691
Deaths,Finland,Both,90-94 years,Breast cancer,Rate,2019,162.472675313409,211.836988002259,116.297664165304
Deaths,Finland,Both,20-24 years,Prostate cancer,Number,2019,0.04488810526389,0.0786986345975981,0.0311313550586833
Deaths,Finland,Both,20-24 years,Prostate cancer,Rate,2019,0.014346729136178,0.0251529439106678,0.0099499213888273
Deaths,Finland,Both,25-29 years,Prostate cancer,Number,2019,0.0733157642316702,0.116627590688583,0.0527616562365429
Deaths,Finland,Both,25-29 years,Prostate cancer,Rate,2019,0.0206710886791719,0.0328826862111663,0.0148759395248101
Deaths,Finland,Both,30-34 years,Prostate cancer,Number,2019,0.093936919048406,0.140355493563046,0.0723600662059346
Deaths,Finland,Both,30-34 years,Prostate cancer,Rate,2019,0.0269440670776298,0.040258376276188,0.0207551460846801
Deaths,Finland,Both,35-39 years,Prostate cancer,Number,2019,0.134055175891222,0.187506193778593,0.0984994479596562
Deaths,Finland,Both,35-39 years,Prostate cancer,Rate,2019,0.037207131923773,0.0520425089300971,0.0273386083774012
