measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,90,Norway,2,Female,14,45-49 years,526,Digestive diseases,1,Number,2019,7.3494628224040275,8.105524329611727,6.739306136186746
1,Deaths,90,Norway,3,Both,14,45-49 years,526,Digestive diseases,1,Number,2019,23.741660051051134,25.74669786778953,21.882544205664207
1,Deaths,90,Norway,1,Male,14,45-49 years,526,Digestive diseases,2,Percent,2019,0.04977897483167823,0.05439308811659816,0.04576400460869061
1,Deaths,90,Norway,2,Female,14,45-49 years,526,Digestive diseases,2,Percent,2019,0.033196249900829033,0.03638002264711423,0.030603922149691414
1,Deaths,90,Norway,3,Both,14,45-49 years,526,Digestive diseases,2,Percent,2019,0.043112087802851626,0.04663911919481953,0.039848629478101104
1,Deaths,90,Norway,1,Male,14,45-49 years,526,Digestive diseases,3,Rate,2019,8.406410633894772,9.27164670375699,7.675912944538661
1,Deaths,90,Norway,2,Female,14,45-49 years,526,Digestive diseases,3,Rate,2019,3.9852775158090137,4.395255088055302,3.6544174541335352
1,Deaths,90,Norway,3,Both,14,45-49 years,526,Digestive diseases,3,Rate,2019,6.257492482761647,6.78595212033186,5.76749290387473
1,Deaths,90,Norway,1,Male,15,50-54 years,526,Digestive diseases,1,Number,2019,27.057171046964157,29.61914033661726,24.843568782785738
1,Deaths,90,Norway,2,Female,15,50-54 years,526,Digestive diseases,1,Number,2019,12.055552805059056,13.18148694984517,11.037946222590127
1,Deaths,90,Norway,3,Both,15,50-54 years,526,Digestive diseases,1,Number,2019,39.112723852023144,42.15203861449226,36.07537265441629
1,Deaths,90,Norway,1,Male,15,50-54 years,526,Digestive diseases,2,Percent,2019,0.052566596212914374,0.05706866591561852,0.04844451665001794
1,Deaths,90,Norway,2,Female,15,50-54 years,526,Digestive diseases,2,Percent,2019,0.035268327105306765,0.0385483195053437,0.032277221189568134
1,Deaths,90,Norway,3,Both,15,50-54 years,526,Digestive diseases,2,Percent,2019,0.04566313354228513,0.04915797590471028,0.042306915678111456
1,Deaths,90,Norway,1,Male,15,50-54 years,526,Digestive diseases,3,Rate,2019,14.349914553452269,15.708668590645516,13.175918820818094
1,Deaths,90,Norway,2,Female,15,50-54 years,526,Digestive diseases,3,Rate,2019,6.769725944827661,7.401987751098973,6.198294854577161
1,Deaths,90,Norway,3,Both,15,50-54 years,526,Digestive diseases,3,Rate,2019,10.668080084500327,11.497059764123088,9.839635971443556
1,Deaths,90,Norway,1,Male,16,55-59 years,526,Digestive diseases,1,Number,2019,34.36266137125943,37.59434931068011,31.430687338346555
1,Deaths,90,Norway,2,Female,16,55-59 years,526,Digestive diseases,1,Number,2019,15.721017378896542,17.17513272211444,14.3911871917757
1,Deaths,90,Norway,3,Both,16,55-59 years,526,Digestive diseases,1,Number,2019,50.08367875015596,53.968942818596325,46.146940588937575
