measure_name,location_name,sex_name,age_name,cause_name,metric_name,year,val,upper,lower
Deaths,Finland,Male,10-14 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.0208361395533183,0.0295114905282353,0.0146194188814838
Deaths,Finland,Female,10-14 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.0356152503792688,0.0585139609031067,0.0189629879387921
Deaths,Finland,Male,10-14 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.0132295539880383,0.0187378211885989,0.00928235246608029
Deaths,Finland,Female,10-14 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.0236209302956739,0.0388079313523682,0.0125767307973397
Deaths,Finland,Male,15-19 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.0521197093774772,0.0758051458416084,0.0347755587170311
Deaths,Finland,Female,15-19 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.0808343647368395,0.129090601660578,0.0483901647012056
Deaths,Finland,Male,15-19 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.0342415397095224,0.0498023673294553,0.022846801890354
Deaths,Finland,Female,15-19 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.0560228319728231,0.0894671605281415,0.0335371481549774
Deaths,Finland,Male,20-24 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.137027434547543,0.20088087078956,0.0875823295596972
Deaths,Finland,Female,20-24 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.190302267323843,0.316140466012871,0.106495755530916
Deaths,Finland,Male,20-24 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.0853001501878026,0.12504918087962,0.054520365866207
Deaths,Finland,Female,20-24 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.125002376473258,0.207660739447327,0.0699530421412468
Deaths,Finland,Male,25-29 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.390961491612824,0.556358202241318,0.262474190016766
Deaths,Finland,Female,25-29 years,"Tracheal, bronchus, and lung cancer",Number,2019,0.34447362985861,0.517526619635509,0.223462489847253
Deaths,Finland,Male,25-29 years,"Tracheal, bronchus, and lung cancer",Rate,2019,0.214717846138167,0.305554478968639,0.1441520302032
