Supplementary Table 12. Country-specific cumulative absolute risk for PGS strata across 19 phenotypes.,,,,,,,,,,,,
,,,,,,,,,,,,
Phenotype,Country,Sex,Study,Optimal Model,PGS Strata,Age,"Cumulative Absolute Risk 
(%)","Cumulative Absolute Risk  
Lower Confidence Interval
(%)","Cumulative Absolute Risk  
Upper Confidence Interval
(%)",,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,5,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,10,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,15,0.00,0.00,0.00,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,20,0.09,0.02,0.32,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,25,0.15,0.05,0.42,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,30,0.29,0.12,0.72,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,35,0.72,0.34,1.77,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,40,1.53,0.75,3.30,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,45,2.67,1.38,5.64,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,50,4.08,2.29,7.98,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,55,6.04,3.66,11.01,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,60,8.76,5.92,14.20,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,65,11.39,8.21,17.11,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,70,13.28,10.23,19.02,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,75,14.38,11.27,20.25,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,< 20%,80,14.74,11.73,20.55,,,
Type 2 Diabetes,Massachusetts (USA),Males,Mass General Brigham,Age and Sex,20-40%,5,0.00,0.00,0.00,,,
